Date,price
19-01-2013,3.09
20-01-2013,3.09
21-01-2013,3.09
22-01-2013,3.09
23-01-2013,3.09
24-01-2013,3.09
25-01-2013,3.09
26-01-2013,3.09
27-01-2013,3.09
28-01-2013,3.09
29-01-2013,3.09
30-01-2013,3.09
31-01-2013,3.09
01-02-2013,3.22
02-02-2013,3.22
03-02-2013,3.22
04-02-2013,3.22
05-02-2013,3.22
06-02-2013,3.22
07-02-2013,3.22
08-02-2013,3.22
09-02-2013,3.22
10-02-2013,3.22
11-02-2013,3.22
12-02-2013,3.22
13-02-2013,3.22
14-02-2013,3.22
15-02-2013,3.22
16-02-2013,3.22
17-02-2013,3.22
18-02-2013,3.22
19-02-2013,3.22
20-02-2013,3.22
21-02-2013,3.22
22-02-2013,3.22
23-02-2013,3.22
24-02-2013,3.22
25-02-2013,3.22
26-02-2013,3.22
27-02-2013,3.22
28-02-2013,3.22
01-03-2013,2.97
02-03-2013,2.97
03-03-2013,2.97
04-03-2013,2.97
05-03-2013,2.97
06-03-2013,2.97
07-03-2013,2.97
08-03-2013,2.97
09-03-2013,2.97
10-03-2013,2.97
11-03-2013,2.97
12-03-2013,2.97
13-03-2013,2.97
14-03-2013,2.97
15-03-2013,2.97
16-03-2013,2.97
17-03-2013,2.97
18-03-2013,2.97
19-03-2013,2.97
20-03-2013,2.97
21-03-2013,2.97
22-03-2013,2.97
23-03-2013,2.97
24-03-2013,2.97
25-03-2013,2.97
26-03-2013,2.97
27-03-2013,2.97
28-03-2013,2.97
29-03-2013,2.97
30-03-2013,2.97
31-03-2013,2.97
01-04-2013,2.81
02-04-2013,2.81
03-04-2013,2.81
04-04-2013,2.81
05-04-2013,2.81
06-04-2013,2.81
07-04-2013,2.81
08-04-2013,2.81
09-04-2013,2.81
10-04-2013,2.81
11-04-2013,2.81
12-04-2013,2.81
13-04-2013,2.81
14-04-2013,2.81
15-04-2013,2.81
16-04-2013,2.81
17-04-2013,2.81
18-04-2013,2.81
19-04-2013,2.81
20-04-2013,2.81
21-04-2013,2.81
22-04-2013,2.81
23-04-2013,2.81
24-04-2013,2.81
25-04-2013,2.81
26-04-2013,2.81
27-04-2013,2.81
28-04-2013,2.81
29-04-2013,2.81
30-04-2013,2.81
01-05-2013,2.73
02-05-2013,2.73
03-05-2013,2.73
04-05-2013,2.73
05-05-2013,2.73
06-05-2013,2.73
07-05-2013,2.73
08-05-2013,2.73
09-05-2013,2.73
10-05-2013,2.73
11-05-2013,2.73
12-05-2013,2.73
13-05-2013,2.73
14-05-2013,2.73
15-05-2013,2.73
16-05-2013,2.73
17-05-2013,2.73
18-05-2013,2.73
19-05-2013,2.73
20-05-2013,2.73
21-05-2013,2.73
22-05-2013,2.73
23-05-2013,2.73
24-05-2013,2.73
25-05-2013,2.73
26-05-2013,2.73
27-05-2013,2.73
28-05-2013,2.73
29-05-2013,2.73
30-05-2013,2.73
31-05-2013,2.73
01-06-2013,2.77
02-06-2013,2.77
03-06-2013,2.77
04-06-2013,2.77
05-06-2013,2.77
06-06-2013,2.77
07-06-2013,2.77
08-06-2013,2.77
09-06-2013,2.77
10-06-2013,2.77
11-06-2013,2.77
12-06-2013,2.77
13-06-2013,2.77
14-06-2013,2.77
15-06-2013,2.77
16-06-2013,2.77
17-06-2013,2.77
18-06-2013,2.77
19-06-2013,2.77
20-06-2013,2.77
21-06-2013,2.77
22-06-2013,2.77
23-06-2013,2.77
24-06-2013,2.77
25-06-2013,2.77
26-06-2013,2.77
27-06-2013,2.77
28-06-2013,2.77
29-06-2013,2.77
30-06-2013,2.77
01-07-2013,2.89
02-07-2013,2.89
03-07-2013,2.89
04-07-2013,2.89
05-07-2013,2.89
06-07-2013,2.89
07-07-2013,2.89
08-07-2013,2.89
09-07-2013,2.89
10-07-2013,2.89
11-07-2013,2.89
12-07-2013,2.89
13-07-2013,2.89
14-07-2013,2.89
15-07-2013,2.89
16-07-2013,2.89
17-07-2013,2.89
18-07-2013,2.89
19-07-2013,2.89
20-07-2013,2.89
21-07-2013,2.89
22-07-2013,2.89
23-07-2013,2.89
24-07-2013,2.89
25-07-2013,2.89
26-07-2013,2.89
27-07-2013,2.89
28-07-2013,2.89
29-07-2013,2.89
30-07-2013,2.89
31-07-2013,2.89
01-08-2013,3.00
02-08-2013,3.00
03-08-2013,3.00
04-08-2013,3.00
05-08-2013,3.00
06-08-2013,3.00
07-08-2013,3.00
08-08-2013,3.00
09-08-2013,3.00
10-08-2013,3.00
11-08-2013,3.00
12-08-2013,3.00
13-08-2013,3.00
14-08-2013,3.00
15-08-2013,3.00
16-08-2013,3.00
17-08-2013,3.00
18-08-2013,3.00
19-08-2013,3.00
20-08-2013,3.00
21-08-2013,3.00
22-08-2013,3.00
23-08-2013,3.00
24-08-2013,3.00
25-08-2013,3.00
26-08-2013,3.00
27-08-2013,3.00
28-08-2013,3.00
29-08-2013,3.00
30-08-2013,3.00
31-08-2013,3.00
01-09-2013,2.93
02-09-2013,2.93
03-09-2013,2.93
04-09-2013,2.93
05-09-2013,2.93
06-09-2013,2.93
07-09-2013,2.93
08-09-2013,2.93
09-09-2013,2.93
10-09-2013,2.93
11-09-2013,2.93
12-09-2013,2.93
13-09-2013,2.93
14-09-2013,2.93
15-09-2013,2.93
16-09-2013,2.93
17-09-2013,2.93
18-09-2013,2.93
19-09-2013,2.93
20-09-2013,2.93
21-09-2013,2.93
22-09-2013,2.93
23-09-2013,2.93
24-09-2013,2.93
25-09-2013,2.93
26-09-2013,2.93
27-09-2013,2.93
28-09-2013,2.93
29-09-2013,2.93
30-09-2013,2.93
01-10-2013,2.89
02-10-2013,2.89
03-10-2013,2.89
04-10-2013,2.89
05-10-2013,2.89
06-10-2013,2.89
07-10-2013,2.89
08-10-2013,2.89
09-10-2013,2.89
10-10-2013,2.89
11-10-2013,2.89
12-10-2013,2.89
13-10-2013,2.89
14-10-2013,2.89
15-10-2013,2.89
16-10-2013,2.89
17-10-2013,2.89
18-10-2013,2.89
19-10-2013,2.89
20-10-2013,2.89
21-10-2013,2.89
22-10-2013,2.89
23-10-2013,2.89
24-10-2013,2.89
25-10-2013,2.89
26-10-2013,2.89
27-10-2013,2.89
28-10-2013,2.89
29-10-2013,2.89
30-10-2013,2.89
31-10-2013,2.89
01-11-2013,2.83
